iter	MultiClass
0	0.854848565
1	0.7444880712
2	0.6797772661
3	0.6363747552
4	0.6082535181
5	0.5876634162
6	0.5739487961
7	0.5642313556
8	0.5570159557
9	0.5510727425
10	0.5463728806
11	0.5426046662
12	0.5396254571
13	0.5367584622
14	0.5348091019
15	0.5326137271
16	0.5311034977
17	0.5297648008
18	0.5279217919
19	0.5269069835
20	0.5261185759
21	0.5251701715
22	0.5241603332
23	0.5231881583
24	0.5218572575
25	0.5209141828
26	0.5203921857
27	0.5192770342
28	0.5187661259
29	0.5180656852
30	0.5177395866
31	0.516915625
32	0.5162966487
33	0.5155959238
34	0.5150925847
35	0.5148450109
36	0.5144501548
37	0.5135397519
38	0.513064305
39	0.5121103871
40	0.5114679248
41	0.5111524816
42	0.5109555237
43	0.5104632711
44	0.5103058994
45	0.5100085996
46	0.5094536872
47	0.5087764618
48	0.5079104624
49	0.5076391012
50	0.5070887009
51	0.5066055638
52	0.5060347589
53	0.5054095914
54	0.5049519309
55	0.5043223374
56	0.5039953933
57	0.5036847548
58	0.5032732935
59	0.5029649435
60	0.5025190108
61	0.5022982536
62	0.5021462936
63	0.5018255025
64	0.5014384804
65	0.5009655063
66	0.5001832177
67	0.4998736479
68	0.4993986418
69	0.499058592
70	0.4983958267
71	0.4978112603
72	0.4976421887
73	0.4974712081
74	0.4972685408
75	0.4968814211
76	0.4965146136
77	0.4962463858
78	0.4960991103
79	0.4956878159
80	0.4952769286
81	0.4949393394
82	0.4944950986
83	0.4941375576
84	0.4939451323
85	0.4934790084
86	0.4928502017
87	0.4925053423
88	0.4920922341
89	0.4917956669
90	0.4914685646
91	0.490947581
92	0.4903778276
93	0.4899269104
94	0.4895396572
95	0.48935851
96	0.4891802848
97	0.4887230351
98	0.4884311426
99	0.4880405245
100	0.4877343624
101	0.4874688623
102	0.4871196013
103	0.4868717774
104	0.4866804447
105	0.4863525758
106	0.4862398664
107	0.4858535054
108	0.4856774452
109	0.4854265447
110	0.4848996731
111	0.4847446143
112	0.4842248781
113	0.4840262455
114	0.4837694331
115	0.4834440574
116	0.4832764824
117	0.4831201073
118	0.4828216573
119	0.4825005277
120	0.4822825954
121	0.4819310151
122	0.4816503142
123	0.4815872575
124	0.4813465614
125	0.4810751318
126	0.4808879997
127	0.4807103131
128	0.4805202487
129	0.4802596068
130	0.4800062619
131	0.4798305652
132	0.4795459181
133	0.4793360339
134	0.4792123327
135	0.4789894605
136	0.4788242517
137	0.4785806104
138	0.4784949618
139	0.4782390018
140	0.4780620407
141	0.4774432773
142	0.4772594671
143	0.4771054714
144	0.4767672045
145	0.4765783401
146	0.4762663153
147	0.4759748072
148	0.475806185
149	0.4754958948
150	0.4753452526
151	0.474993432
152	0.4749432178
153	0.4747356961
154	0.4744955783
155	0.4743584496
156	0.4741158615
157	0.4736995201
158	0.4733993184
159	0.4732829553
160	0.4730746313
161	0.4727498875
162	0.4722584541
163	0.4718788067
164	0.4716323713
165	0.4714853843
166	0.4712840893
167	0.4711740415
168	0.4707416606
169	0.4704962514
170	0.4701950264
171	0.4699426595
172	0.4697934379
173	0.4696910834
174	0.4694453116
175	0.4692551487
176	0.4690196378
177	0.4688249572
178	0.468516028
179	0.4682168114
180	0.4678716321
181	0.4677536621
182	0.4674295958
183	0.4669927627
184	0.4666833837
185	0.4664975094
186	0.4663179513
187	0.466201773
188	0.4660180468
189	0.4656548164
190	0.4651440683
191	0.4649541891
192	0.4645866104
193	0.4642633508
194	0.4640435292
195	0.4637688553
196	0.4635559326
197	0.4633836593
198	0.4631442823
199	0.4628509208
