iter	Passed	Remaining
0	60	12063
1	65	6481
2	70	4603
3	74	3669
4	79	3094
5	84	2717
6	89	2453
7	93	2245
8	98	2081
9	102	1950
10	106	1838
11	111	1750
12	116	1672
13	120	1603
14	124	1538
15	129	1485
16	133	1433
17	137	1387
18	141	1351
19	146	1319
20	151	1289
21	156	1262
22	160	1234
23	164	1208
24	169	1188
25	173	1163
26	178	1141
27	182	1122
28	186	1101
29	190	1082
30	195	1064
31	199	1047
32	203	1031
33	208	1016
34	212	1002
35	216	987
36	220	973
37	225	959
38	229	946
39	233	934
40	237	922
41	241	909
42	245	896
43	249	885
44	253	874
45	258	864
46	262	854
47	266	844
48	271	836
49	275	826
50	279	816
51	283	806
52	287	797
53	292	789
54	296	780
55	300	772
56	304	763
57	308	755
58	312	746
59	316	737
60	319	729
61	323	720
62	327	712
63	331	705
64	335	697
65	339	690
66	344	683
67	348	676
68	352	669
69	357	663
70	361	656
71	365	648
72	369	642
73	373	635
74	377	629
75	382	623
76	386	617
77	390	610
78	394	603
79	398	597
80	402	590
81	406	584
82	410	578
83	414	572
84	418	566
85	423	560
86	427	555
87	431	549
88	435	543
89	440	537
90	444	532
91	448	526
92	452	520
93	457	515
94	461	509
95	465	504
96	469	498
97	473	492
98	477	487
99	481	481
100	486	476
101	490	471
102	494	466
103	498	460
104	502	454
105	506	449
106	510	444
107	515	438
108	519	433
109	523	428
110	527	422
111	531	417
112	535	412
113	539	407
114	543	401
115	547	396
116	552	391
117	556	386
118	560	381
119	565	376
120	569	371
121	573	366
122	577	361
123	581	356
124	586	351
125	590	346
126	593	341
127	598	336
128	602	331
129	606	326
130	611	321
131	614	316
132	619	311
133	623	306
134	627	301
135	631	297
136	635	292
137	639	287
138	642	282
139	646	277
140	651	272
141	655	267
142	659	262
143	663	257
144	667	253
145	671	248
146	675	243
147	679	238
148	684	234
149	688	229
150	692	224
151	696	219
152	700	215
153	704	210
154	707	205
155	711	200
156	715	196
157	720	191
158	724	186
159	727	181
160	731	177
161	735	172
162	740	168
163	744	163
164	748	158
165	752	154
166	756	149
167	760	144
168	764	140
169	768	135
170	772	131
171	776	126
172	780	121
173	784	117
174	788	112
175	792	108
176	796	103
177	800	98
178	804	94
179	809	89
180	813	85
181	817	80
182	821	76
183	826	71
184	830	67
185	834	62
186	838	58
187	842	53
188	846	49
189	851	44
190	855	40
191	859	35
192	863	31
193	868	26
194	872	22
195	876	17
196	880	13
197	884	8
198	888	4
199	892	0
